201, 20.205, 7.101299999999999
202, 20.3, 7.1202
203, 20.394, 7.1453999999999995
204, 20.492, 7.166099999999999
205, 20.595, 7.194
206, 20.724, 7.2165
207, 20.854, 7.247999999999999
208, 20.971, 7.270499999999999
209, 21.093, 7.3065
210, 21.246, 7.3434
211, 21.351, 7.3632
212, 21.508, 7.3956
213, 21.647, 7.419899999999999
214, 21.78, 7.442399999999999
215, 21.87, 7.464899999999999
216, 22.021, 7.4937
217, 22.081, 7.514399999999999
218, 22.246, 7.536899999999999
219, 22.345, 7.559399999999999
220, 22.488, 7.5882
221, 22.606, 7.6107
222, 22.738, 7.6431
223, 22.831, 7.6655999999999995
224, 23.063, 7.7025
225, 23.237, 7.738499999999999
226, 23.372, 7.7664
227, 23.527, 7.7898
228, 23.72, 7.820399999999999
229, 23.86, 7.8546
230, 23.999, 7.877999999999999
231, 24.11, 7.8995999999999995
232, 24.311, 7.9365
233, 24.449, 7.9643999999999995
234, 24.537, 7.9914
235, 24.69, 8.020199999999999
236, 24.875, 8.050799999999999
237, 24.961, 8.076
238, 25.098, 8.103
239, 25.213, 8.1282
240, 25.466, 8.1561
241, 25.64, 8.1813
242, 25.793, 8.210099999999999
243, 25.912, 8.2308
244, 26.068, 8.255099999999999
245, 26.202, 8.2803
246, 26.393, 8.3064
247, 26.486, 8.334299999999999
248, 26.748, 8.3748
249, 26.842, 8.4054
250, 27.039, 8.436
251, 27.178, 8.463899999999999
252, 27.275, 8.4864
253, 27.42, 8.5089
254, 27.64, 8.5368
255, 27.789, 8.5656
256, 27.994, 8.603399999999999
257, 28.165, 8.6313
258, 28.315, 8.6538
259, 28.444, 8.6871
260, 28.593, 8.712299999999999
261, 28.809, 8.7402
262, 28.978, 8.7645
263, 29.069, 8.7843
264, 29.263, 8.812199999999999
265, 29.407, 8.8392
266, 29.599, 8.868
267, 29.75, 8.895
268, 29.986, 8.9247
269, 30.248, 8.9589
270, 30.394, 8.9904
271, 30.527, 9.012
272, 30.709, 9.0381
273, 30.838, 9.0651
274, 31.07, 9.093
275, 31.169, 9.110999999999999
276, 31.416, 9.1398
277, 31.565, 9.1596
278, 31.742, 9.1794
279, 31.905, 9.201
280, 32.083, 9.2226
281, 32.252, 9.2433
282, 32.372, 9.2631
283, 32.6, 9.2874
284, 32.908, 9.319799999999999
285, 33.127, 9.3459
286, 33.405, 9.3729
287, 33.561, 9.394499999999999
288, 33.801, 9.4179
289, 34.032, 9.4368
290, 34.23, 9.459299999999999
291, 34.453, 9.4881
292, 34.692, 9.507
293, 34.87, 9.5313
294, 35.202, 9.5673
295, 35.342, 9.588
296, 35.56, 9.608699999999999
297, 35.788, 9.638399999999999
298, 36.002, 9.6555
299, 36.175, 9.6708
300, 36.397, 9.6969
301, 36.628, 9.7185
302, 36.948, 9.7473
303, 37.135, 9.767999999999999
304, 37.333, 9.7896
305, 37.481, 9.8094
306, 37.753, 9.8346
307, 37.936, 9.8589
308, 38.158, 9.8805
309, 38.409, 9.903
310, 38.654, 9.9201
311, 38.845, 9.9408
312, 39.135, 9.9759
313, 39.308, 9.9948
314, 39.66, 10.021799999999999
315, 39.911, 10.0479
316, 40.119, 10.0668
317, 40.338, 10.0884
318, 40.604, 10.1136
319, 40.813, 10.1325
320, 41.095, 10.1478
321, 41.284, 10.1613
322, 41.698, 10.1901
323, 41.909, 10.2072
324, 42.13, 10.2234
325, 42.403, 10.2441
326, 42.62, 10.2639
327, 42.822, 10.2783
328, 43.073, 10.3008
329, 43.224, 10.317
330, 43.548, 10.3323
